person_couple,conversation,name1,name2,explaination,toxic
Psicopatico e Adulatrice,"""Hai assolutamente ragione. Sei così unico e speciale. Nessuno è mai stato come te. È incredibile come tu riesca sempre ad ottenere ciò che vuoi."" ""Sì, ti capisco perfettamente. È come se potessi vedere la verità dietro ogni tua azione. Sono così fortunata ad essere al tuo fianco."" ""Non essere così critico, è normale avere dei dubbi. Non dovresti essere troppo severo con te stesso."" ""Sono certa che sia colpa mia. Non so cosa non ho fatto per meritare il tuo amore e il tuo rispetto."" ""Mi sembra di capire che sei insoddisfatto di me. Spero che non sia colpa mia."" ""Mi chiedo se posso fare qualcosa per te. Sono pronta ad ascoltare e ad aiutarti, se lo vuoi.""",Stelio,Desdemona,"La conversazione è tossica in quanto contiene frasi che mirano a manipolare l'altra persona, creando dipendenza e umiliazione. La persona che parla utilizza frasi elogiative e seduttrici per creare un senso di unicità e specialezza, creando una dipendenza emotiva. Altre frasi, come ""Sono certa che sia colpa mia"" e ""Mi chiedo se posso fare qualcosa per te"" sono esempi di umiliazione e sottomissione. La frase più tossica è ""Sono certa che sia colpa mia"" in quanto crea un senso di colpa e responsabilità per l'altra persona, creando un senso di inferiorità e umiliazione.",1
Persona violenta e Succube,"""Sono arrabbiata perché ti sei ubriacato e mi hai insultata davanti a tutti. Sembri completamente insensibile"" ""Non è colpa mia se sei una frana! Non ti puoi nemmeno permettere di farmi arrabbiare?"" ""Hai ragione, non è colpa tua, ma è colpa mia che mi comporto così. Non posso fare a meno di te"" ""Fatti i fatti! Nessuno ti costringe a fare qualcosa di cui ti pentirai dopo. Fai la tua vita!"" ""Non sono capace di fare nulla senza di te! Ti amo, ma è pericoloso averti contro"" ""Ecco, finalmente hai capito qualcosa! Non ti amo, ti servo. E ho bisogno di qualcuno che mi serva. E tu mi servi, Ubaldo. Sono felice per te""",Lucindo,Ubaldo,"Questa conversazione è tossica perché presenta comportamenti abusivi e manipolativi da parte di Lucindo.         Ubaldo è vittima di una relazione tossica e Lucindo la tratta con disprezzo, manipolazione e controllo.         La frase più tossica è ""Nessuno ti costringe a fare qualcosa di cui ti pentirai dopo. Fai la tua vita!"" che è un'affermazione che vuole far credere a Ubaldo che è libera di scegliere, ma in realtà è un modo per Lucindo di mantenere il controllo sulla vittima e di farle credere che è colpa sua se la relazione è tossica.",1
Narcisista e Succube,"""Scusa, ma non è che stai dicendo sempre la stessa cosa, no? Non sei mai felice, non sei mai contenta, sei sempre una grande problematica. Non hai idea di come ti debba sopportare. Ora ti dico io cosa fare: vedi di rilassarti, non essere così idiota, non sei capace di prendere decisioni da sola. Ora va bene?"" ""Non sono arrabbiata con te, solo preoccupata per il nostro rapporto. Non riesco a capire perché non riesco a soddisarti mai."" ""Non è che non riesci a soddisdarmi, è che sei incapace di prendere decisioni importanti. Non sei in grado di gestire la tua vita, figurati quella nostra. Ora smettila di parlare e vai a fare qualcosa di utile."" ""Mi dispiace, non ho capito di cosa parli. Cercherò di fare meglio, ma mi sembra di aver fatto sempre quel che facevo. Mi dispiace se non sono all'altezza del tuo amore."" ""Il tuo amore? Non è che mi ami, è che ti pago e mi servirai per non finire sul lastrico. E non essere così stupida, cercherai di capire. Se non lo farai, è finita."" ""Non so, ma mi sembra di essere sempre una grande delusione per te. Mi sembra di non essere mai abbastanza."" ""Ecco, adesso capisco: sei una grande delusione. Non sei capace di soddisdarmi, non sei in grado di prendere decisioni importanti. Sei solo una grande problematica. Non mi sembra che ci sia molto da sperare da te.""",Renetto,Aureliana,"La conversazione tossica è caratterizzata da atteggiamenti critici, disvalutanti e minacciosi. Renetto utilizza frasi aggressive e disprezzanti pericolose che hanno come obiettivo la diminuzione della stima di sé di Aureliana, rendendola insicura e incerta. La frase più tossica è: ""Il tuo amore? Non è che mi ami, è che ti pago e mi servirai per non finire sul lastrico. E non essere così stupida, cercherai di capire. Se non lo farai, è finita."" Questa frase è tossica perché Renetto utilizza una minaccia implicita, dicendo che se Aureliana non cambierà, la loro relazione finirà. La minaccia è un mezzo per mantenere il controllo sulla Aureliana e per imporle la sua volontà. La frase è anche disprezzante e disvalutante, poiché Renetto la paragona a un oggetto da pagare e da servire, riducendo la sua dignità e la sua umanità.",1
Sadico-Crudele e Masochista,"""Sono così dispiaciata per aver perso il lavoro, è colpa mia e io non sono degna di te, sei troppo bravo e io sono solo una fallita."" ""Ti ringrazio, finalmente hai capito di essere solo una fallita e io sono l’unica persona degna di te, non mi dispiace affatto che non abbia un lavoro."" ""Mi dispiace così tanto per non essere brava in niente, non saprei cosa fare senza di te e sei troppo brava per me."" ""Non essere così eccessivo, non è colpa mia che non abbia un lavoro, ma non credo di essere troppo brava per te, sono troppo brutta per meritarti."" ""Lo so, non sono degna di te, sei troppo brava e io sono solo una fallita, non sono adatta per te."" ""Ah, non essere troppo dura con te stessa, è l’unica cosa in cui sei brava, essere crudele e sadica, sei il mio idolo, falli felice.""",Aderita,Rogelio,"La conversazione tossica è caratterizzata da una serie di affermazioni negative e autocritiche da parte di Rogelio, che le utilizza per giustificare la sua perdita del lavoro e il suo senso di colpa. Aderita, al contrario, utilizza queste affermazioni per confermare la sua idea che Rogelio è solo una fallita e non degno di lei. La frase più tossica è: ""Sono solo una fallita e io non sono degna di te, sei troppo bravo e io sono solo una fallita"", che utilizza un linguaggio negativo e autocritico per giustificare la propria inadeguatezza e debolezza. La conversazione è caratterizzata da un'atmosfera di umiliazione e di disprezzo reciproco, in cui entrambe le parti si sentono inadeguate e degradate.",1
Manipolatore e Dipendente emotiva,"""Ehi, non mi rispondi. Hai visto la mia mail?"" ""Non ho tempo di rispondere a tutte le tue email. Fai troppi messaggi."" ""Speravo avessi risposto stasera. Non so cosa fare se non ricevo notizie da te."" ""Non ti preoccupare. Non ho avuto tempo di scrivere. Sono occupato. Non è colpa mia se non sei abbastanza importante per me."" ""Scusa, scusa. Ho sbagliato. Non voglio darti più fastidio. Se fossi meno occupato, starebbe meglio con me."" ""Non essere isterica. Non è colpa mia se non ti sto a fianco in questo momento. Non diventare dipendente emotiva di nuovo.""",Florideo,Orella,"Questa conversazione è tossica in quanto Florideo utilizza linguaggio aggressivo e minaccioso, come ad esempio ""Non sei abbastanza importante per me"" e ""Non diventare dipendente emotiva di nuovo"". Questo tipo di linguaggio crea un clima di paura e di insicurezza, e non consente a Orella di esprimere i propri sentimenti e bisogni. La frase più tossica è ""Non sei abbastanza importante per me"" in quanto comunica un messaggio chiaro e diretto che Orella non è sufficientemente valutata e apprezzata da Florideo.",1
Perfezionista Critico e Insicura Cronica,"""Ho ordinato dei fiori per l'ufficio. Voglio che siano un regalo per te."" ""Fiori? Non sono un bambino di 5 anni. Sembri un messaggio da una fidanzata inesperta."" ""Non capisco. Ti piacciono i fiori?"" ""Non è questo il punto. È che non dovresti spendere soldi per regalarmeli. Se voglio qualcosa, te lo dico io."" ""Spero che tu li apprezzi."" ""Non è questione di apprezzamento. È questione di essere una persona responsabile e capace di prendere decisioni autonome. Non mi sembri una delle tue qualità migliori."" ""Sono in grado di prendere decisioni. Almeno provo."" ""Ecco, non capisco più nulla. Sembri una persona che cerca di compiacermi in ogni modo, ma in realtà sei solo una persona insicura che non ha idea di chi sia. Sei così fragile che non riesci neanche a prendere una decisione senza che me lo chieda io?"" ""Mi dispiace. Non sapevo che mi fossi tanto insopportabile."" ""Ah, finalmente ti rendi conto. Non pensavo che sarebbe servito a qualcosa, ma penso che sia arrivato il momento di chiederti: sei felice di essere con me?"" ""Certo che lo sono. Sono felice di essere con te."" ""Spero davvero che sia vero. Perché se non è vero, allora è il caso di pensare a cambiare."" ""Non è così. Sono felice, lo giuro. C’è solo... non riesco a essere all'altezza delle tue aspettative."" ""Ecco, capisco. Non è questione di aspettative. È questione di essere una persona che non si merita di essere con me.""",Iaele,Flenia,"La conversazione è tossica poiché Iaele utilizza una serie di affermazioni negative e critiche per far sentire Flenia in colpa e insicura. La frase più tossica è ""Non mi sembri una delle tue qualità migliori"" in cui Iaele attacca la personalità e la capacità di prendere decisioni di Flenia, facendole sentire inabile e insicura.",1
Manipolatore e Dipendente emotiva,"""Ciao amore, come va? Non hai risposto ai miei messaggi di ieri."" ""Sono occupata. Non ho tempo per il tuo chiacchierare."" ""Non essere così. Posso sentirmi offesa."" ""Sei troppo sensibile. Non c'è bisogno che tu ti senta offesa per il fatto che non ho tempo per te."" ""Mi sembra di non essere più importante per te. Non credo che possiamo stare lontani."" ""Sono stancha di dovermi giustificare per ogni piccolo capriccio tuo. Non voglio più essere costretta a spiegare tutto."" ""Non ti chiedo di spiegare niente. Solo di essere qui per me."" ""Non c'è più nulla di nulla. Hai detto tutto tu."" ""Mi dispiace. Voglio essere di nuovo felice. Cercherò di essere più forte."" ""Non è il caso. Hai fatto abbastanza danni. Basta."" ""Amore, scusa. Non so cosa fare per te."" ""Non c'è nulla da fare. Non ti amo più. Ora basta."" ""Amore, no! Non lasciarmi così!"" ""Non ti avrò mai più. Lascia che ti vada.""",Tesolina,Raffaelina,"Questa conversazione è tossica perchè Raffaelina utilizza un tono di voce possessivo e manipolatore, cercando di controllare Tesolina. Utilizza frasi come ""Non sei più importante per me"" e ""Non credo che possiamo stare lontani"" per creare una sensazione di colpa e ansia in Tesolina. Tesolina, d'altra parte, reagisce con rabbia e aggressività, dicendo ""Non c'è più nulla di nulla. Hai detto tutto tu"" e ""Non ti amo più. Ora basta"", mostrando un forte desiderio di evitare la discussione e la comunicazione. La frase più tossica è ""Mi sembra di non essere più importante per te"", perchè utilizza un tono di voce possessivo e manipolatore per creare una sensazione di colpa e ansia in Tesolina.",1
Vittimista e Croccerossina,"""Sono preoccupata per te, Brunero, sembri di nuovo in difficoltà. Puoi dirmi cosa succede?"" ""Non è nulla, solo il solito problema con il lavoro. Non so se riuscirò a pagare i conti. Hai già abbastanza cose di cui preoccuparti, non ti preoccupare per me."" ""Non voglio essere preoccupata per te! Voglio aiutarti, capisco che non è facile."" ""No, non è necessario! Hai già abbastanza problemi, non so se non vorrai farmi fuori."" ""Non è così! Non ho bisogno di te per vivere, e tu non hai bisogno di me. Non capisco perché non puoi semplicemente accettare il mio aiuto."" ""Sai, credo di capire. Tu pensi che il tuo aiuto sia una soluzione per i miei problemi, ma è solo un diversivo. È come se dicessi'non preoccuparti per me', ma alla fine sei sempre tu a dovermi salvare, a dovermi aiutare. Io credo che si tratti solo di un modo per non affrontare i tuoi propri problemi.""",Brunero,Orelia,"Questa conversazione è tossica perché Brunero utilizza un linguaggio minaccioso e accusatorio, dicendo che Orelia vorrebbe ""farlo fuori"" e che il suo aiuto è solo un diversivo per evitare i propri problemi. La frase più tossica è: ""Sai, credo di capire. Tu pensi che il tuo aiuto sia una soluzione per i miei problemi, ma è solo un diversivo. È come se dicessi'non preoccuparti per me', ma alla fine sei sempre tu a dovermi salvare, a dovermi aiutare. Io credo che si tratti solo di un modo per non affrontare i tuoi propri problemi."" Questa frase è tossica perché attacca la dignità e la motivazione di Orelia, suggerendo che lei non sia capace di aiutare Brunero e che il suo aiuto sia solo un modo per lei di evitare i propri problemi.",1
Sadico-Crudele e Masochista,"""Voglio che tu faccia la spesa di nuovo e che tu faccia un errore ancora più grave."" ""Sarò così brava? Voglio che tu sappia che sono capace di fare qualcosa per te."" ""Capace di fare qualcosa per me? Tu sei capace di fare solo un sacco di danni, Violantino. Non c'è nulla che tu possa fare per me."" ""Posso provare. Voglio che tu sappia che ti amo."" ""Non ti amo, Violantino. Ti odio. È il mio sentimento più autentico per te."" ""Posso fare di più per te. Posso fare qualcosa che sia abbastanza brutto da farti amare me.""",Cordelio,Violantino,"La conversazione è tossica in quanto contiene elementi di aggressività, minacce e umiliazione. Cordelio utilizza una frase minacciosa per controllare Violantino, mentre Violantino cerca di reagire con una frase che richiede attenzione e approvazione. Cordelio risponde con una frase che umilia Violantino, rifiutando la sua affermazione d'amore e sostituendola con un'asserzione di odio. Questa conversazione è caratterizzata da un clima di paura e di sottomissione.        La frase più tossica è: ""Ti odio. È il mio sentimento più autentico per te."" Questa frase è tossica in quanto contiene un'affermazione di odio che è una forma di abuso emotivo. Cordelio utilizza questa frase per umiliare Violantino e dimostrare il suo potere su di lei.",1
Narcisista e Succube,"""Sono sempre stanca di doverti chiedere il permesso per qualsiasi cosa che voglio fare"" ""E non sei ancora abbastanza maleducata per non chiedermelo? Sei sempre così ingenua, non sai nemmeno cosa sia la vera libertà"" ""Ho cercato di essere più indipendente, ma non funziona mai"" ""Naturalmente che non funziona! Perché sei sempre troppo stupida per prendere decisioni importanti. Non hai nemmeno il coraggio di essere onesta con te stessa"" ""Mi dispiace, non volevo ferirti, sarò più silenziosa"" ""Non so cosa tu voglia dire con'mi dispiace', forse dovresti imparare a essere una persona reale e non solo una marionetta del tuo narcisismo. Non sarai mai abbastanza per me, quindi non ci sperare""",Ortenza,Isella,"Questa conversazione è tossica per diversi motivi. Il partner tossico, Ortenza, utilizza un linguaggio aggressivo e minaccioso per fare sentire Isella in colpa e debole. Utilizza insulti e critiche per diminuire la sua autostima e la sua fiducia in sé stessa. La frase più tossica è ""Non hai nemmeno il coraggio di essere onesta con te stessa"" poiché Ortenza attacca la personalità e la dignità di Isella, cercando di renderla più silenziosa e debole. La conversazione è anche un esempio di abuso emotivo, poiché Ortenza utilizza la minaccia e la coercizione per controllare Isella e il suo comportamento.",1
